emoji,hexcode,unicodeVersion,label_en,label_es,label_pt,tags_en,tags_es,tags_pt,group_en,group_es,group_pt,subgroup_en,subgroup_es,subgroup_pt,whatsapp_ios,whatsapp_android,whatsapp_note
🇦,1F1E6,0,regional indicator A,indicador regional A,indicador regional A,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇧,1F1E7,0,regional indicator B,indicador regional B,indicador regional B,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇨,1F1E8,0,regional indicator C,indicador regional C,indicador regional C,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇩,1F1E9,0,regional indicator D,indicador regional D,indicador regional D,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇪,1F1EA,0,regional indicator E,indicador regional E,indicador regional E,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇫,1F1EB,0,regional indicator F,indicador regional F,indicador regional F,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇬,1F1EC,0,regional indicator G,indicador regional G,indicador regional G,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇭,1F1ED,0,regional indicator H,indicador regional H,indicador regional H,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇮,1F1EE,0,regional indicator I,indicador regional I,indicador regional I,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇯,1F1EF,0,regional indicator J,indicador regional J,indicador regional J,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇰,1F1F0,0,regional indicator K,indicador regional K,indicador regional K,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇱,1F1F1,0,regional indicator L,indicador regional L,indicador regional L,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇲,1F1F2,0,regional indicator M,indicador regional M,indicador regional M,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇳,1F1F3,0,regional indicator N,indicador regional N,indicador regional N,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇴,1F1F4,0,regional indicator O,indicador regional O,indicador regional O,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇵,1F1F5,0,regional indicator P,indicador regional P,indicador regional P,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇶,1F1F6,0,regional indicator Q,indicador regional Q,indicador regional Q,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇷,1F1F7,0,regional indicator R,indicador regional R,indicador regional R,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇸,1F1F8,0,regional indicator S,indicador regional S,indicador regional S,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇹,1F1F9,0,regional indicator T,indicador regional T,indicador regional T,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇺,1F1FA,0,regional indicator U,indicador regional U,indicador regional U,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇻,1F1FB,0,regional indicator V,indicador regional V,indicador regional V,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇼,1F1FC,0,regional indicator W,indicador regional W,indicador regional W,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇽,1F1FD,0,regional indicator X,indicador regional X,indicador regional X,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇾,1F1FE,0,regional indicator Y,indicador regional Y,indicador regional Y,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇿,1F1FF,0,regional indicator Z,indicador regional Z,indicador regional Z,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
😀,1F600,1,grinning face,cara sonriendo,rosto risonho,cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth,cara|divertido|feliz|sonrisa,engraçado|feliz|lol|rindo|risada|riso|rosto|sorridente,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😃,1F603,0.6,grinning face with big eyes,cara sonriendo con ojos grandes,rosto risonho com olhos bem abertos,awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay,cara|divertido|risa|sonriendo,aberto|boca|feliz|olhos arregalados|risada|risonho|rosto|rosto sorrindo com boca aberta|sorridente|sorrindo|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😄,1F604,0.6,grinning face with smiling eyes,cara sonriendo con ojos sonrientes,rosto risonho com olhos sorridentes,eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling,abierta|cara|ojo|sonrisa,aberta|boca|engraçado|feliz|haha|lol|risada|riso|risonho|sorridente|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😁,1F601,0.6,beaming face with smiling eyes,cara radiante con ojos sonrientes,rosto contente com olhos sorridentes,beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth,cara|ojo|risa|sonrisa,feliz|olho|olhos sorrindo|rindo|rosto|rosto rindo com olhos sorridentes|sorridente|sorrindo|sorriso|sorriso aberto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😆,1F606,0.6,grinning squinting face,cara sonriendo con los ojos cerrados,rosto risonho com olhos semicerrados,closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting,abierta|boca|cara|risa,gargalhada|gargalhando|hahaha|kkk|olhos fechados|rir|rosto|sorriso com olhos fechados|sorriso estilo xd,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😅,1F605,0.6,grinning face with sweat,cara sonriendo con sudor frío,rosto risonho com gota de suor,cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat,cara|frío|risa|sudor,estressada|estressado|nervoso|rindo|rosto|sorriso com suor frio|sorriso mas com suor frio|suando frio|suor frio,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤣,1F923,3,rolling on the floor laughing,cara revolviéndose de la risa,rolando no chão de rir,crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear,cara|carcajada|ojos cerrados|risa,choro|chão|engraçada|feliz|gargalhada|haha|kkk|lágrimas|rindo|rir|risada|rolando,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😂,1F602,0.6,face with tears of joy,cara llorando de risa,rosto chorando de rir,crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear,cara|felicidad|lágrima|risa,alegria|chorando de rir|engraçada|engraçado|gargalhada|hahaha|kkk|lágrimas|lágrimas de alegria|rosto|rosto com lágrimas de alegria,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🙂,1F642,1,slightly smiling face,cara sonriendo ligeramente,rosto levemente sorridente,face|happy|slightly|smile|smiling,cara|sonrisa,feliz|rosto|rosto sorrindo|sorriso|sorriso leve,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🙃,1F643,1,upside-down face,cara al revés,rosto de cabeça para baixo,face|hehe|smile|upside-down,cara|revés,de cabeça para baixo|rosto invertido,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
